major_options,count
"['Bluetooth', 'Backup Camera', 'Parking Sensors', 'Heated Seats', 'Android Auto', 'Quick Order Package', 'CarPlay']",342
"['Alloy Wheels', 'Blind Spot Monitoring', 'Parking Sensors', 'Android Auto', 'CarPlay']",331
"['Alloy Wheels', 'Bluetooth', 'Remote Start', 'Blind Spot Monitoring', 'Parking Sensors', 'Android Auto', 'CarPlay', 'Convenience Package']",329
"['Sunroof/Moonroof', 'Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Heated Seats']",314
"['Steel Wheels', 'Bluetooth', 'Backup Camera', 'Blind Spot Monitoring']",313
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Android Auto', 'CarPlay']",313
"['Sunroof/Moonroof', 'Bluetooth']",312
"['Backup Camera', 'Heated Seats']",312
"['Alloy Wheels', 'Bluetooth', 'Android Auto', 'CarPlay']",307
['Blind Spot Monitoring'],302
"['Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Heated Seats']",300
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Heated Seats']",299
"['Leather Seats', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Heated Seats']",299
"['Alloy Wheels', 'Backup Camera', 'Heated Seats']",298
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Heated Seats', 'Android Auto', 'CarPlay']",296
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Blind Spot Monitoring', 'Remote Start', 'Heated Seats', 'Android Auto', 'CarPlay']",296
"['Backup Camera', 'Parking Sensors', 'Android Auto', 'CarPlay']",296
"['Leather Seats', 'Sunroof/Moonroof', 'Alloy Wheels', 'Heated Seats']",292
"['Sunroof/Moonroof', 'Alloy Wheels', 'Third Row Seating', 'Backup Camera', 'Heated Seats', 'Android Auto', 'CarPlay']",292
"['Bluetooth', 'Backup Camera', 'Quick Order Package']",291
"['Sunroof/Moonroof', 'Adaptive Cruise Control', 'Alloy Wheels', 'Backup Camera']",291
"['Sunroof/Moonroof', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start']",289
"['Leather Seats', 'Bluetooth', 'Backup Camera', 'Remote Start']",285
"['Backup Camera', 'Heated Seats', 'Android Auto', 'CarPlay']",284
"['Leather Seats', 'Sunroof/Moonroof', 'Alloy Wheels']",278
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Blind Spot Monitoring', 'Parking Sensors', 'Heated Seats', 'Android Auto', 'Quick Order Package', 'CarPlay', 'Bluetooth', 'Backup Camera', 'Remote Start']",278
"['Alloy Wheels', 'Bluetooth', 'Remote Start', 'Android Auto', 'CarPlay', 'Convenience Package']",278
"['Steel Wheels', 'Backup Camera', 'Android Auto', 'CarPlay']",276
"['Leather Seats', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Heated Seats']",274
"['Bluetooth', 'Backup Camera', 'Blind Spot Monitoring']",264
"['Sunroof/Moonroof', 'Backup Camera']",263
"['Sunroof/Moonroof', 'Backup Camera', 'Heated Seats']",259
"['Leather Seats', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Blind Spot Monitoring', 'Heated Seats']",258
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'CarPlay']",257
"['Customer Preferred Package', 'Preferred Package', 'Quick Order Package']",256
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Bluetooth', 'Backup Camera']",250
"['Sunroof/Moonroof', 'Bluetooth', 'Backup Camera']",250
"['Navigation System', 'Alloy Wheels']",240
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Heated Seats', 'Quick Order Package']",240
"['Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Heated Seats']",238
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Blind Spot Monitoring', 'Android Auto', 'CarPlay']",235
['Navigation System'],233
"['Leather Seats', 'Alloy Wheels', 'Bluetooth', 'Heated Seats']",231
"['Navigation System', 'Bluetooth', 'Backup Camera']",231
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Bluetooth', 'Backup Camera', 'Remote Start']",231
['Leather Seats'],229
"['Navigation System', 'Bluetooth']",229
"['Leather Seats', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start']",229
"['Leather Seats', 'Sunroof/Moonroof', 'Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start']",228
"['Navigation System', 'Alloy Wheels', 'Backup Camera']",228
"['Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth']",224
"['Steel Wheels', 'Bluetooth', 'Backup Camera', 'Android Auto', 'CarPlay']",223
"['Leather Seats', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Heated Seats', 'Android Auto', 'Quick Order Package', 'CarPlay']",220
"['Bluetooth', 'Remote Start']",219
"['Sunroof/Moonroof', 'Navigation System', 'Bluetooth', 'Backup Camera']",219
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start']",217
"['Sunroof/Moonroof', 'Alloy Wheels', 'Bluetooth', 'Heated Seats']",215
"['Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Backup Camera']",213
"['Alloy Wheels', 'Steel Wheels', 'Bluetooth', 'Backup Camera']",212
"['Alloy Wheels', 'Backup Camera', 'Android Auto', 'CarPlay', 'Convenience Package']",212
"['Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Blind Spot Monitoring', 'Heated Seats']",211
"['Backup Camera', 'Remote Start', 'Parking Sensors', 'Quick Order Package']",211
"['Leather Seats', 'Bluetooth', 'Backup Camera']",210
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Heated Seats', 'Android Auto', 'CarPlay']",209
"['Sunroof/Moonroof', 'Navigation System', 'Adaptive Cruise Control', 'Alloy Wheels', 'Third Row Seating', 'Backup Camera', 'Heated Seats', 'Android Auto', 'CarPlay']",209
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Parking Sensors', 'Heated Seats', 'Quick Order Package']",208
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Parking Sensors', 'Heated Seats']",208
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Parking Sensors', 'Heated Seats', 'Quick Order Package']",207
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Heated Seats', 'CarPlay']",206
"['Alloy Wheels', 'Third Row Seating']",205
"['Leather Seats', 'Sunroof/Moonroof', 'Alloy Wheels', 'Bluetooth', 'Backup Camera']",204
"['Backup Camera', 'Parking Sensors', 'Heated Seats', 'Android Auto', 'CarPlay']",203
"['Alloy Wheels', 'Bluetooth', 'Android Auto', 'CarPlay', 'Convenience Package']",203
"['Leather Seats', 'Sunroof/Moonroof', 'Alloy Wheels', 'Third Row Seating', 'Bluetooth', 'Backup Camera', 'Heated Seats']",202
"['Leather Seats', 'Navigation System', 'Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Heated Seats']",202
"['Leather Seats', 'Alloy Wheels', 'Heated Seats']",202
"['Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels']",202
"['Sunroof/Moonroof', 'Power Package', 'Blind Spot Monitoring']",201
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Quick Order Package']",201
"['Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Blind Spot Monitoring', 'Heated Seats']",201
"['Adaptive Cruise Control', 'Backup Camera', 'Android Auto', 'CarPlay']",200
"['Leather Seats', 'Sunroof/Moonroof', 'Alloy Wheels', 'Bluetooth']",200
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Parking Sensors', 'Heated Seats']",199
"['Alloy Wheels', 'Bluetooth', 'Quick Order Package']",199
"['Sunroof/Moonroof', 'Blind Spot Monitoring']",198
"['Adaptive Cruise Control', 'Bluetooth']",197
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Heated Seats', 'Quick Order Package']",197
"['Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Backup Camera', 'Heated Seats']",195
"['Backup Camera', 'Quick Order Package']",194
"['Alloy Wheels', 'Third Row Seating', 'Backup Camera', 'Android Auto', 'CarPlay']",194
"['Leather Seats', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Parking Sensors', 'Heated Seats']",194
"['Alloy Wheels', 'Quick Order Package']",193
"['Alloy Wheels', 'Third Row Seating', 'Backup Camera']",190
"['Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Backup Camera', 'Parking Sensors', 'Heated Seats', 'Android Auto', 'CarPlay']",189
"['Bluetooth', 'Backup Camera', 'Blind Spot Monitoring', 'Parking Sensors']",188
"['Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Blind Spot Monitoring']",188
"['Alloy Wheels', 'Blind Spot Monitoring', 'Heated Seats', 'Android Auto', 'CarPlay']",187
"['Sunroof/Moonroof', 'Navigation System', 'Adaptive Cruise Control', 'Alloy Wheels', 'Technology Package', 'Third Row Seating', 'Backup Camera', 'Heated Seats', 'Android Auto', 'CarPlay']",187
"['Value Package', 'Customer Preferred Package', 'Preferred Package', 'Quick Order Package']",187
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Heated Seats', 'Quick Order Package']",185
"['Sunroof/Moonroof', 'Heated Seats']",185
"['Adaptive Cruise Control', 'Alloy Wheels', 'Third Row Seating', 'Bluetooth', 'Backup Camera']",183
"['Sunroof/Moonroof', 'Adaptive Cruise Control', 'Backup Camera', 'Heated Seats', 'Android Auto', 'CarPlay']",182
"['Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Third Row Seating', 'Backup Camera', 'Heated Seats', 'Android Auto', 'CarPlay']",181
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Third Row Seating', 'Bluetooth', 'Backup Camera', 'Heated Seats']",181
"['Leather Seats', 'Sunroof/Moonroof', 'Adaptive Cruise Control', 'Alloy Wheels', 'Third Row Seating', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Heated Seats']",180
"['Navigation System', 'Adaptive Cruise Control', 'Alloy Wheels', 'Backup Camera', 'Heated Seats', 'Android Auto', 'CarPlay']",180
"['Leather Seats', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Parking Sensors', 'Android Auto', 'Quick Order Package', 'CarPlay']",180
"['Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Backup Camera', 'Heated Seats', 'Android Auto', 'CarPlay']",179
['Premium Wheels'],177
"['Sunroof/Moonroof', 'Backup Camera', 'Heated Seats', 'Android Auto', 'CarPlay']",176
"['Navigation System', 'Backup Camera']",175
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Blind Spot Monitoring', 'Parking Sensors', 'Android Auto', 'CarPlay']",175
"['Adaptive Cruise Control', 'Alloy Wheels', 'Backup Camera', 'CarPlay']",174
"['Navigation System', 'Steel Wheels', 'Bluetooth', 'Backup Camera']",174
"['Alloy Wheels', 'Backup Camera', 'Remote Start', 'Parking Sensors', 'Android Auto', 'CarPlay']",173
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Heated Seats']",171
"['Sunroof/Moonroof', 'Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Heated Seats', 'CarPlay']",169
"['Backup Camera', 'Blind Spot Monitoring']",168
"['Sunroof/Moonroof', 'Third Row Seating', 'Backup Camera', 'Heated Seats', 'Android Auto', 'CarPlay']",166
"['Steel Wheels', 'Bluetooth', 'Backup Camera', 'Quick Order Package']",166
"['Alloy Wheels', 'Third Row Seating', 'Bluetooth', 'Backup Camera', 'Parking Sensors']",165
"['Navigation System', 'Adaptive Cruise Control', 'Remote Start', 'Parking Sensors', 'Heated Seats', 'Android Auto', 'Cold Weather Package', 'CarPlay', 'Convenience Package']",164
"['Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start']",164
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Heated Seats', 'Android Auto', 'CarPlay']",161
"['Sunroof/Moonroof', 'Adaptive Cruise Control', 'Alloy Wheels', 'Backup Camera', 'Blind Spot Monitoring', 'Heated Seats', 'Android Auto', 'CarPlay']",161
"['Leather Seats', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Parking Sensors', 'Heated Seats', 'Android Auto', 'CarPlay', 'Convenience Package']",161
"['Sunroof/Moonroof', 'Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Blind Spot Monitoring', 'Heated Seats', 'Android Auto', 'CarPlay']",161
"['Navigation System', 'Steel Wheels', 'Bluetooth']",159
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Parking Sensors']",159
['Chrome Wheels'],159
"['Sunroof/Moonroof', 'Navigation System', 'Backup Camera', 'Parking Sensors', 'Heated Seats', 'Android Auto', 'CarPlay']",159
"['Alloy Wheels', 'Backup Camera', 'Parking Sensors', 'Heated Seats', 'Android Auto', 'CarPlay']",158
"['Leather Seats', 'Navigation System', 'Alloy Wheels', 'Third Row Seating', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Heated Seats']",157
"['Alloy Wheels', 'Third Row Seating', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring']",157
"['Leather Seats', 'Sunroof/Moonroof', 'Bluetooth', 'Backup Camera']",156
"['Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Heated Seats']",156
"['Leather Seats', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Heated Seats', 'Android Auto', 'CarPlay']",155
"['Alloy Wheels', 'Third Row Seating', 'Bluetooth', 'Backup Camera', 'Blind Spot Monitoring']",155
"['Leather Seats', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera']",154
"['Sunroof/Moonroof', 'Alloy Wheels', 'Backup Camera', 'Remote Start']",154
"['Navigation System', 'Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start']",153
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Adaptive Cruise Control', 'Alloy Wheels', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Heated Seats', 'CarPlay']",153
"['Sunroof/Moonroof', 'Quick Order Package']",152
"['Backup Camera', 'Parking Sensors']",151
"['Alloy Wheels', 'Backup Camera', 'Remote Start']",151
"['Sunroof/Moonroof', 'Navigation System', 'Bluetooth']",150
"['Sunroof/Moonroof', 'Adaptive Cruise Control', 'Alloy Wheels', 'Third Row Seating', 'Backup Camera', 'Heated Seats', 'Android Auto', 'CarPlay']",150
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Parking Sensors', 'Quick Order Package']",148
"['Leather Seats', 'Sunroof/Moonroof', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Heated Seats']",147
"['Alloy Wheels', 'Steel Wheels', 'Bluetooth']",147
"['Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Android Auto', 'CarPlay']",147
"['Adaptive Cruise Control', 'Steel Wheels', 'Backup Camera', 'CarPlay']",146
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels']",146
"['Leather Seats', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Quick Order Package']",146
"['Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Android Auto', 'CarPlay']",146
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Heated Seats', 'Android Auto', 'CarPlay', 'Convenience Package']",146
"['Sunroof/Moonroof', 'Navigation System', 'Backup Camera', 'Heated Seats']",145
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Heated Seats', 'Android Auto', 'CarPlay']",144
['Third Row Seating'],144
"['Navigation System', 'Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring', 'Heated Seats']",143
"['Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Heated Seats']",143
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth']",142
"['Alloy Wheels', 'Third Row Seating', 'Bluetooth', 'Backup Camera', 'Android Auto', 'CarPlay']",142
"['Sunroof/Moonroof', 'Navigation System', 'Adaptive Cruise Control', 'Alloy Wheels', 'Backup Camera', 'Heated Seats', 'Android Auto', 'CarPlay']",141
"['Sunroof/Moonroof', 'Navigation System', 'Backup Camera']",141
"['Alloy Wheels', 'Backup Camera', 'Quick Order Package']",141
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Adaptive Cruise Control', 'Alloy Wheels', 'Technology Package', 'Third Row Seating', 'Bluetooth', 'Backup Camera', 'Blind Spot Monitoring', 'Remote Start', 'Heated Seats']",140
"['SE Package', 'Alloy Wheels', 'Backup Camera']",140
"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Blind Spot Monitoring', 'Remote Start', 'Parking Sensors', 'Heated Seats', 'Android Auto', 'CarPlay']",140
"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Heated Seats', 'Quick Order Package']",138
"['Third Row Seating', 'Backup Camera']",138
"['SE Package', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Android Auto', 'CarPlay']",138
